web_scraper_order,web_scraper_start_url,pagination-selector,data,name_coderepository,data2,programminglanguage,data3,data4,description,data5,data6,data7,data8,title,title2,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20
"1766068803-13","https://github.com/korbirayen?tab=repositories","","Public","Sentiment247","Dec 2, 2025","Jupyter Notebook","Jupyter Notebook


        
          
    

          1
        

        
          
    
Apache License 2.0
        


        Updated Dec 2, 2025","Dec 2, 2025","Sentiment247 is an application that dectects emotional tone in text data by dictating polarity and determining depression using NLP techniques.","Dec 2, 2025","Starred","Star","OdenDavid/Sentiment247","","","","","","","","","","","1","Forked from OdenDavid/Sentiment247","Apache License 2.0","OdenDavid/Sentiment247"
"1766068803-14","https://github.com/korbirayen?tab=repositories","","Public","TuniComa","Dec 1, 2025","","Updated Dec 1, 2025","Dec 1, 2025","","Dec 1, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068803-15","https://github.com/korbirayen?tab=repositories","","Public","PFE_Test","Nov 25, 2025","Python","Python


        
          
    

          1
        



        Updated Nov 25, 2025","Nov 25, 2025","","Nov 25, 2025","Starred","Star","1","","","","","","","","","","","1","","","1"
"1766068803-16","https://github.com/korbirayen?tab=repositories","","Public","TruthLense","Nov 22, 2025","JavaScript","JavaScript


        
          
    

          2
        
        
          
    

          1
        



        Updated Nov 22, 2025","Nov 22, 2025","","Nov 22, 2025","Starred","Star","2","","","","","","","","","","","2","","","2"
"1766068803-17","https://github.com/korbirayen?tab=repositories","","Public","TruthLense-Model","Nov 22, 2025","Python","Python


        
          
    

          2
        



        Updated Nov 22, 2025","Nov 22, 2025","","Nov 22, 2025","Starred","Star","2","","","","","","","","","","","2","","","2"
"1766068803-18","https://github.com/korbirayen?tab=repositories","","Public","MoodMonitor","Nov 17, 2025","Python","Python


        
          
    

          2
        



        Updated Nov 17, 2025","Nov 17, 2025","Real Time X (Twitter) Sentiment Tracker","Nov 17, 2025","Starred","Star","2","","","","","","","","","","","2","","","2"
"1766068803-19","https://github.com/korbirayen?tab=repositories","","Public","PFE-Helper","Nov 16, 2025","Python","pfe

          
  tunisia-education","Nov 16, 2025","PFE-Helper is an automated bot that collects new PFE opportunities from PFEBooks.com and instantly sends them to your Telegram, helping Tunisian students find internships faster and easier.","Nov 16, 2025","Starred","Star","2","","","","","","","","","","","2","","","2"
"1766068803-20","https://github.com/korbirayen?tab=repositories","","Public","Learning","Nov 15, 2025","","3
        

        
          
    
MIT License
        


        Updated Nov 15, 2025","Nov 15, 2025","A log of things I'm learning","Nov 15, 2025","Starred","Star","amitness/learning","","","","","","","","","","","3","Forked from amitness/learning","","amitness/learning"
"1766068803-21","https://github.com/korbirayen?tab=repositories","","Public","MovieMind","Nov 15, 2025","Python","Python


        
          
    

          2
        



        Updated Nov 15, 2025","Nov 15, 2025","Netflix style Movie Trend Analyzer","Nov 15, 2025","Starred","Star","2","","","","","","","","","","","2","","","2"
"1766068803-22","https://github.com/korbirayen?tab=repositories","","Public","Telos","Nov 9, 2025","","MIT License
        


        Updated Nov 9, 2025","Nov 9, 2025","Telos is an open-sourced framework for creating Deep Context about things that matter to humans.","Nov 9, 2025","Starred","Star","danielmiessler/Telos","","","","","","","","","","","","Forked from danielmiessler/Telos","","danielmiessler/Telos"
"1766068803-23","https://github.com/korbirayen?tab=repositories","","Public","stage-cni-2025","Oct 14, 2025","Jupyter Notebook","Jupyter Notebook


        
          
    

          2
        



        Updated Oct 14, 2025","Oct 14, 2025","Stage d'étè CNI juillet 2025","Oct 14, 2025","Starred","Star","2","","","","","","","","","","","2","","","2"
"1766068803-24","https://github.com/korbirayen?tab=repositories","","Private","noRagrag","Sep 18, 2025","Python","Python





        Updated Sep 18, 2025","Sep 18, 2025","","Sep 18, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068803-25","https://github.com/korbirayen?tab=repositories","","Public","CNI-2025","Aug 7, 2025","","Updated Aug 7, 2025","Aug 7, 2025","","Aug 7, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068803-26","https://github.com/korbirayen?tab=repositories","","Public","Grow-Flow-Media","Aug 1, 2025","TypeScript","TypeScript


        
          
    

          1
        



        Updated Aug 1, 2025","Aug 1, 2025","Official Webiste","Aug 1, 2025","Starred","Star","1","","","","","","","","","","","1","","","1"
"1766068803-27","https://github.com/korbirayen?tab=repositories","","Public","BouncingBalls","Jul 21, 2025","Python","Python


        
          
    

          2
        



        Updated Jul 21, 2025","Jul 21, 2025","","Jul 21, 2025","Starred","Star","2","","","","","","","","","","","2","","","2"
"1766068803-28","https://github.com/korbirayen?tab=repositories","","Public","Deep-Live-Cam","Jul 9, 2025","Python","Python


        
          
    

          2
        

        
          
    
GNU Affero General Public License v3.0
        


        Updated Jul 9, 2025","Jul 9, 2025","real time face swap and one-click video deepfake with only a single image","Jul 9, 2025","Starred","Star","hacksider/Deep-Live-Cam","","","","","","","","","","","2","Forked from hacksider/Deep-Live-Cam","GNU Affero General Public License v3.0","hacksider/Deep-Live-Cam"
"1766068803-29","https://github.com/korbirayen?tab=repositories","","Private","ossama","Jul 9, 2025","HTML","HTML





        Updated Jul 9, 2025","Jul 9, 2025","","Jul 9, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068803-30","https://github.com/korbirayen?tab=repositories","","Public","n8n-integration","Jul 1, 2025","HTML","HTML


        
          
    

          4
        



        Updated Jul 1, 2025","Jul 1, 2025","","Jul 1, 2025","Starred","Star","4","","","","","","","","","","","4","","","4"
"1766068807-31","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","n8n-automation-template","Jun 29, 2025","HTML","HTML


        
          
    

          1
        



        Updated Jun 29, 2025","Jun 29, 2025","","Jun 29, 2025","Starred","Star","1","","","","","","","","","","","1","","","1"
"1766068807-32","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","LOCOCHOCO","Jun 9, 2025","","Updated Jun 9, 2025","Jun 9, 2025","","Jun 9, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068807-33","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","locama-coming-soon","Jun 4, 2025","TypeScript","TypeScript





        Updated Jun 4, 2025","Jun 4, 2025","","Jun 4, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068807-34","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","Bouncing-Ball-Videos-Material","Jun 1, 2025","","Updated Jun 1, 2025","Jun 1, 2025","","Jun 1, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068807-35","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","Axon","Jun 1, 2025","JavaScript","JavaScript





        Updated Jun 1, 2025","Jun 1, 2025","","Jun 1, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068807-36","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Private","first-laravel-curd","May 30, 2025","PHP","PHP





        Updated May 30, 2025","May 30, 2025","","May 30, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068807-37","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","Axon-Beta","May 25, 2025","","Updated May 25, 2025","May 25, 2025","","May 25, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068807-38","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","Dagoba-in-memory-graph-database","May 13, 2025","JavaScript","JavaScript





        Updated May 13, 2025","May 13, 2025","","May 13, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068807-39","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","Fitness-Tracker-Website-FN","May 3, 2025","PHP","PHP





        Updated May 3, 2025","May 3, 2025","a functional versions of my website Fitness Tracker Website , re-written in php with an Sql database","May 3, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068807-40","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","DS-HTML-CSS","Apr 30, 2025","CSS","CSS





        Updated Apr 30, 2025","Apr 30, 2025","DS 1 De Technologies et programmation Web","Apr 30, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068807-41","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","Fitness-Tracker-Website","Apr 30, 2025","HTML","HTML





        Updated Apr 30, 2025","Apr 30, 2025","A site for logging workouts, tracking progress, and sharing fitness goals with a community","Apr 30, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068807-42","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Private","dailydose-frontend","Apr 27, 2025","HTML","HTML





        Updated Apr 27, 2025","Apr 27, 2025","","Apr 27, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068807-43","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Private","dailydose-backend","Apr 27, 2025","JavaScript","JavaScript





        Updated Apr 27, 2025","Apr 27, 2025","","Apr 27, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068807-44","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Private","dailydose","Apr 25, 2025","JavaScript","JavaScript





        Updated Apr 25, 2025","Apr 25, 2025","","Apr 25, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068807-45","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Private","LeetCode","Apr 25, 2025","Python","Python


        
          
    

          1
        



        Updated Apr 25, 2025","Apr 25, 2025","i do a Leetcode challenge everyday until i reach my goal","Apr 25, 2025","Starred","Star","1","","","","","","","","","","","1","","","1"
"1766068807-46","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","monthmaster.github.io","Apr 15, 2025","HTML","HTML


        
          
    

          2
        



        Updated Apr 15, 2025","Apr 15, 2025","Learn months in three languages","Apr 15, 2025","Starred","Star","2","","","","","","","","","","","2","","","2"
"1766068807-47","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","ex-register","Apr 15, 2025","JavaScript","JavaScript



        
          
    
GNU General Public License v3.0
        


        Updated Apr 15, 2025","Apr 15, 2025","my '.is-a.dev' subdomain.","Apr 15, 2025","Starred","Star","is-a-dev/register","","","","","","","","","","","","Forked from is-a-dev/register","GNU General Public License v3.0","is-a-dev/register"
"1766068807-48","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","is-a.dev","Apr 14, 2025","","Updated Apr 14, 2025","Apr 14, 2025","","Apr 14, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068807-49","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","NoFap","Apr 11, 2025","HTML","extension-chrome

          
  nofap

          
  porn-addiction

          
  extension-firefox","Apr 11, 2025","Browser Extension designed to block access to pornographic websites.","Apr 11, 2025","Starred","Star","8","","","","","","","","","","","8","","MIT License","8"
"1766068807-50","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","AlarmClock","Apr 10, 2025","Kotlin","Kotlin





        Updated Apr 10, 2025","Apr 10, 2025","Fix For My Problem","Apr 10, 2025","Starred","Star","yuriykulikov/AlarmClock","","","","","","","","","","","","Forked from yuriykulikov/AlarmClock","","yuriykulikov/AlarmClock"
"1766068807-51","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","opensource-image-tool","Apr 7, 2025","JavaScript","JavaScript





        Updated Apr 7, 2025","Apr 7, 2025","","Apr 7, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068807-52","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","graphics-renderer","Apr 7, 2025","JavaScript","JavaScript





        Updated Apr 7, 2025","Apr 7, 2025","","Apr 7, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068807-53","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","DaVinci-Resolve-Media-Offline","Apr 3, 2025","","davinci-resolve

          
  davinci-resolve-19

          
  davinci-resolve-for-windows

          
  davinci-resolve-error

          
  davinci-resolve-media-offline","Apr 3, 2025","How To Solve DaVinci Resolve Media Offline Error","Apr 3, 2025","Starred","Star","1","","","","","","","","","","","1","","","1"
"1766068807-54","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","complete-intro-to-react","Apr 3, 2025","JavaScript","JavaScript



        
          
    
MIT License
        


        Updated Apr 3, 2025","Apr 3, 2025","My complete React.js tutorial designed to take you from beginner to confident developer. Includes hands-on projects, best practices, and modern React patterns.","Apr 3, 2025","Starred","Star","","","","","","","","","","","","","","MIT License",""
"1766068807-55","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","eid-mubarek-2025","Apr 2, 2025","CSS","CSS





        Updated Apr 2, 2025","Apr 2, 2025","","Apr 2, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068807-56","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","sugarizer","Mar 24, 2025","JavaScript","JavaScript



        
          
    
Apache License 2.0
        


        Updated Mar 24, 2025","Mar 24, 2025","A taste of the Sugar learning platform on any device","Mar 24, 2025","Starred","Star","sugarlabs/sugarizer","","","","","","","","","","","","Forked from sugarlabs/sugarizer","Apache License 2.0","sugarlabs/sugarizer"
"1766068807-57","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","Deep-RL-notebooks","Mar 19, 2025","Jupyter Notebook","Jupyter Notebook





        Updated Mar 19, 2025","Mar 19, 2025","","Mar 19, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068807-58","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","gsoc2025","Mar 18, 2025","HTML","HTML


        
          
    

          1
        



        Updated Mar 18, 2025","Mar 18, 2025","Generated webpages dynamically for each organization form a google spreadsheet","Mar 18, 2025","Starred","Star","1","","","","","","","","","","","1","","","1"
"1766068807-59","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","deep-rl-class","Mar 8, 2025","MDX","MDX



        
          
    
Apache License 2.0
        


        Updated Mar 8, 2025","Mar 8, 2025","This repo contains the Hugging Face Deep Reinforcement Learning Course.","Mar 8, 2025","Starred","Star","huggingface/deep-rl-class","","","","","","","","","","","","Forked from huggingface/deep-rl-class","Apache License 2.0","huggingface/deep-rl-class"
"1766068807-60","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=2&tab=repositories","Public","data-engineering-zoomcamp","Mar 7, 2025","Jupyter Notebook","Jupyter Notebook





        Updated Mar 7, 2025","Mar 7, 2025","Data Engineering Zoomcamp is a free nine-week course that covers the fundamentals of data engineering.","Mar 7, 2025","Starred","Star","DataTalksClub/data-engineering-zoomcamp","","","","","","","","","","","","Forked from DataTalksClub/data-engineering-zoomcamp","","DataTalksClub/data-engineering-zoomcamp"
"1766068811-61","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=3&tab=repositories","Public","csrgxtu.github.io","Mar 7, 2025","HTML","HTML





        Updated Mar 7, 2025","Mar 7, 2025","my personal blog -- static files","Mar 7, 2025","Starred","Star","csrgxtu/csrgxtu.github.io","","","","","","","","","","","","Forked from csrgxtu/csrgxtu.github.io","","csrgxtu/csrgxtu.github.io"
"1766068811-62","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=3&tab=repositories","Private","Synapse","Mar 5, 2025","","1
        

        
          
    
MIT License
        


        Updated Mar 5, 2025","Mar 5, 2025","Synapse is an AI-powered learning platform designed to help students conquer procrastination and achieve academic success. By automatically summarizing course materials, providing personalized stud…","Mar 5, 2025","Starred","Star","1","","","","","","","","","","","1","","","1"
"1766068811-63","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=3&tab=repositories","Private","flutter101","Mar 5, 2025","","Updated Mar 5, 2025","Mar 5, 2025","By kodeco","Mar 5, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068811-64","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=3&tab=repositories","Public","Codedex-CSS-Final-Project","Feb 23, 2025","Jupyter Notebook","Jupyter Notebook





        Updated Feb 23, 2025","Feb 23, 2025","Codédex CSS certificate program's final project","Feb 23, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068811-65","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=3&tab=repositories","Private","flutter-slidey-menu","Feb 19, 2025","TypeScript","TypeScript





        Updated Feb 19, 2025","Feb 19, 2025","","Feb 19, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068811-66","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=3&tab=repositories","Public","Travel","Feb 19, 2025","HTML","HTML





        Updated Feb 19, 2025","Feb 19, 2025","Find your destination with us.","Feb 19, 2025","Starred","Star","","","","","","","","","","","","","","",""
"1766068811-67","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=3&tab=repositories","Public","getting-a-gig","Jan 13, 2025","","Updated Jan 13, 2025","Jan 13, 2025","Guide for getting a gig as a tech student.","Jan 13, 2025","Starred","Star","cassidoo/getting-a-gig","","","","","","","","","","","","Forked from cassidoo/getting-a-gig","","cassidoo/getting-a-gig"
"1766068811-68","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=3&tab=repositories","Public","test","Dec 2, 2024","Python","Python





        Updated Dec 2, 2024","Dec 2, 2024","","Dec 2, 2024","Starred","Star","","","","","","","","","","","","","","",""
"1766068811-69","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=3&tab=repositories","Public","bootstrap-sandbox","Oct 17, 2024","","Updated Oct 17, 2024","Oct 17, 2024","active learning bootstap5","Oct 17, 2024","Starred","Star","","","","","","","","","","","","","","",""
"1766068811-70","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=3&tab=repositories","Public","portfolio","Oct 10, 2024","HTML","HTML





        Updated Oct 10, 2024","Oct 10, 2024","","Oct 10, 2024","Starred","Star","","","","","","","","","","","","","","",""
"1766068811-71","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=3&tab=repositories","Private","fuckoff","Oct 7, 2024","HTML","HTML





        Updated Oct 7, 2024","Oct 7, 2024","","Oct 7, 2024","Starred","Star","","","","","","","","","","","","","","",""
"1766068811-72","https://github.com/korbirayen?tab=repositories","https://github.com/korbirayen?page=3&tab=repositories","Private","learning-css-layouts","Oct 7, 2024","CSS","CSS





        Updated Oct 7, 2024","Oct 7, 2024","","Oct 7, 2024","Starred","Star","","","","","","","","","","","","","","",""
